external_id,default_code,name,taxes_id,supplier_taxes_id
product.product_246,143,SEMILLAS DE GIRASOL  SESAMO (AJONJOLI)  CARTAMO  COLZA Y MOSTAZA,,
product.product_247,1430,"SEMILAS DE GIRASOL, SESAMO (AJONJOLI), CARTAMO, COLZA Y MOSTAZA",,
product.product_248,1430,SEMILLAS DE GIRASOL,,
product.product_249,01430.00.1,SEMILLAS DE GIRASOL VARIEDAD HIBRIDA,,
product.product_250,01430.00.2,SEMILLAS DE GIRASOL VARIEDAD PURA,,
product.product_251,1430.1,SEMILLAS DE SESAMO (AJONJOLI),,
product.product_252,01430.10.1,SEMILLAS DE AJONJOLI VARIEDAD HIBRIDA,,
product.product_253,01430.10.2,SEMILLAS DE AJONJOLI VARIEDAD PURA,,
product.product_254,1430.11,OTRAS SEMILLAS DE SESAMO (AJONJOLI),,
product.product_255,1430.2,SEMILLAS DE COLZA,,
product.product_256,01430.20.1,SEMILLAS DE COLZA,,
product.product_257,1430.21,OTRAS SEMILLAS DE COLZA,,
product.product_258,1430.22,SEMILLAS DE MOSTAZA,,
product.product_259,01430.22.1,SEMILLAS DE MOSTAZA,,
product.product_260,1430.23,OTRAS SEMILLAS DE MOSTAZA,,
product.product_261,1430.3,SEMILLAS DE CARTAMO,,
product.product_262,01430.30.1,SEMILLAS DE CARTAMO,,
product.product_263,144,SEMILLAS DE ALGODON,,
product.product_264,1440,SEMILLAS DE ALGODON,,
product.product_265,1440,SEMILLAS DE ALGODON,,
product.product_266,01440.00.1,SEMILLAS DE ALGODON VARIEDAD HIBRIDA,,
product.product_267,01440.00.2,SEMILLAS DE ALGODON VARIEDAD PURA,,
product.product_268,1440.01,OTRAS SEMILLAS DE ALGODON,,
product.product_269,149,SEMILLAS OLEAGINOSAS DE ACEITE N.C.P. Y FRUTOS OLEAGINOSOS,,
product.product_270,1490,SEMILLAS OLEAGINOSAS DE ACEITE N.C.P. Y FRUTOS OLEAGINOSOS,,
product.product_271,1490,SEMILLAS COPRA (COCOTERO) ,,
product.product_272,01490.00.1,SEMILLAS COPRA (COCOTERO) ,,
product.product_273,1490.1,SEMILLAS NUECES Y ALMENDRAS DE PALMA,,
product.product_274,01490.10.1,SEMILLAS NUECES Y ALMENDRAS DE PALMA,,
product.product_275,1490.11,OTRAS SEMILLAS NUECES Y ALMENDRAS DE PALMA,,
product.product_276,1490.2,SEMILLAS DE LINAZA,,
product.product_277,01490.20.1,SEMILLAS DE LINAZA,,
